"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0018","0.0021","0.0019","0.0023","0.003","0.0043","0.005","0.0055","0.0062","0.0057","0.0087","0.0096","0.0106","0.0118","0.0136","0.0144","0.0163","0.0187","0.0201","0.0296","0.0553","0.0641","0.0735","0.0765","0.0856","0.0944","0.0617","0.1038","0.1085","0.1126","0.0855","0.0874","0.0914","0.1035","0.105","0.1183","0.1335","0.1428","0.1456","0.1599","0.1616","0.0901","0.1193","0.1368","0.1462","0.1445","0.148","0.1433","0.1569","0.1792","0.1511","0.1464","0.1526","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","39.4633","39.4633","40.8507","42.5943","40.1668","42.7512","40.5424","39.4571","41.0369","36.8518","38.36","39.0435","38.5638","38.6682","40.1554","39.8548","40.1732","41.3905","44.5915","44.7066","47.2295","46.3602","47.2722","46.2115","48.5754","53.1497","52.8785","54.7305","54.6284","56.0817","56.2691","58.6421","60.5177","64.2993","68.5969","71.082","74.9189","81.155","83.0708","83.0867","87.4701","93.2201","97.5038","108.2321","108.9721","113.1473","113.1764","118.0024","120.5172","123.6964","110.1401","119.1962","122.5492","",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.2428","0.2428","0.2647","0.2524","0.2452","0.2844","0.2575","0.2854","0.303","0.3269","0.3326","0.3941","0.3956","0.5479","0.5392","0.6938","0.5789","0.6777","0.6458","0.6098","0.597","0.572","0.3377","0.342","0.3245","0.3139","0.3168","0.2838","0.2688","0.244","0.2414","0.23","0.1798","0.2469","0.2106","0.3528","0.4636","0.4927","1.308","2.4277","3.343","4.4826","3.9204","2.6339","1.9451","2.4074","1.7279","1.7471","2.2584","1.9","1.4752","1.529","1.5772","",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","7.202","7.202","8.0192","8.8502","9.3004","10.7132","12.7923","16.1178","18.6609","18.6213","20.922","21.8925","23.0266","23.2643","21.7499","21.5043","21.1952","20.7546","22.5519","23.0426","20.4387","23.9975","27.8875","25.235","22.1444","24.798","27.9875","33.2814","30.1345","32.473","34.6128","39.6324","42.0962","44.0225","45.7166","45.1486","41.5778","40.9231","46.8682","48.1603","55.339","58.8322","64.8996","76.1595","81.2505","79.4033","87.6164","86.8187","93.5005","99.5739","91.633","99.0395","103.4482","",
"Angola","AGO","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","1.0262","1.0262","1.7155","1.4475","1.3019","1.0984","1.107","0.6488","1.333","1.0552","0.9961","0.8719","0.8559","0.7771","0.7024","1.0394","1.0261","1.042","1.2429","1.304","1.0165","1.2574","1.187","1.2119","1.541","1.0709","0.988","1.0521","0.8342","1.1566","1.0745","1.2045","1.4808","2.7543","3.4525","2.4766","3.2932","3.8961","5.2039","5.7572","5.6836","6.2762","6.7414","7.6988","7.9394","7.983","7.9134","6.7212","6.9462","7.9339","5.6321","5.8983","5.5233","",
"Albania","ALB","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.726","0.726","0.7795","0.7871","0.8274","0.8584","1.0009","1.0351","1.1214","1.2618","1.4806","0.8215","0.8546","0.9336","1.3201","1.0792","1.0121","1.0457","1.1524","0.9572","0.7094","0.5367","0.4093","0.5073","0.6355","0.6275","0.6208","0.4928","0.7394","1.4057","1.4712","1.5466","1.7724","1.9221","2.3065","2.3811","1.9243","2.1045","2.2921","2.3135","2.2415","2.3554","2.2616","2.466","2.4786","2.45","2.302","2.3118","2.2073","2.1869","1.5325","1.4835","1.5549","",
"Andorra","AND","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","24.716","24.716","28.3552","31.1107","34.4995","37.9517","43.7134","51.397","63.5301","71.6879","79.8679","92.8571","104.0226","119.4567","127.186","133.3989","130.698","138.6551","146.5212","153.2379","154.8226","156.4436","170.2485","177.327","184.7426","181.0022","187.5555","191.1799","196.5256","200.1945","208.4827","215.4152","226.0151","230.4229","243.5157","260.6558","276.0499","295.4482","316.6357","333.8555","352.3869","366.8283","396.2274","404.6046","417.9674","422.7446","432.7446","435.9402","435.4105","432.7592","388.2044","419.8589","459.9238","",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.4057","0.4057","0.5419","0.7705","1.0106","1.6505","2.1776","2.2896","2.5551","3.2988","6.9656","8.1889","9.0815","9.2836","9.8227","9.416","9.3851","10.1372","10.4773","10.8177","11.2891","11.6186","11.806","12.6036","12.4849","13.1051","13.2675","13.2036","13.1867","13.5698","14.8515","16.2836","18.7692","20.8637","21.0671","22.7475","23.924","24.5864","26.1621","28.7946","30.0559","30.0847","30.7616","34.6715","35.5773","30.881","34.6297","37.6607","37.6693","35.7784","30.7097","34.0091","39.3851","",
"Argentina","ARG","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","23.6034","23.6034","24.9782","25.528","25.9163","24.4292","24.6264","26.0888","26.6111","28.6913","29.7014","29.4984","29.8857","30.0023","29.4353","27.22","28.255","28.9874","27.4774","27.5606","28.3437","29.9656","32.0013","34.2761","33.7871","35.2107","40.9995","40.9677","43.5938","40.9665","39.8377","36.6253","33.8385","34.558","37.1677","37.7144","40.5477","43.8822","45.8478","42.021","44.1992","45.6703","44.8214","47.736","44.0604","46.2782","45.2497","46.4311","47.7877","47.4694","37.7662","46.9437","49.8952","",
"Armenia","ARM","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","1.2421","1.2421","1.3468","1.4422","1.5555","1.7477","1.8467","1.8708","1.9102","1.9635","2.0801","2.1086","2.1241","2.11","2.1154","2.1436","2.296","2.3722","2.4049","2.4747","2.9619","2.8967","1.8295","1.1892","0.1586","0.1128","0.061","0.064","0.0671","0.0701","0.5702","0.5672","0.5428","0.5854","0.6072","0.6716","0.665","1.059","1.2584","1.1427","1.263","1.2949","1.3008","1.2782","1.7057","1.6559","1.5801","1.6736","1.8011","2.0588","2.261","2.4288","2.3815","",
"American Samoa","ASM","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0074","0.0074","0.006","0.0066","0.0077","0.0101","0.0108","0.0112","0.0116","0.0101","0.0145","0.0134","0.0192","0.0119","0.0144","0.0145","0.0159","0.0212","0.0223","0.0243","0.045","0.0466","0.0485","0.049","0.0526","0.0552","0.0545","0.0583","0.061","0.0633","0.043","0.0425","0.0461","0.0493","0.0499","0.0528","0.0616","0.0668","0.0739","0.0863","0.0934","0.0658","0.0719","0.0859","0.0927","0.0909","0.096","0.085","0.0993","0.1092","0.0921","0.0893","0.093","",
"Australia","AUS","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","32.4797","33.3739","34.3398","38.0723","39.1623","40.7179","42.0194","44.7446","47.2108","48.3325","49.5731","50.4279","51.5766","51.0273","53.2295","54.774","56.2362","57.1846","59.3872","61.2214","62.029","60.5851","62.0802","63.1851","64.8301","67.5402","70.0234","71.3855","71.3879","72.7735","75.0143","74.417","76.1324","76.4084","79.1821","79.3334","81.2516","83.5781","85.2988","84.6843","87.6303","89.7682","90.4253","91.8283","91.9797","94.1531","95.4071","96.8541","99.2245","99.2324","92.6348","94.1428","102.6963","",
"Austria","AUT","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","8.8055","9.5449","10.4285","11.1489","10.2942","10.388","10.5704","11.0223","11.7574","12.3722","11.5424","10.8632","10.7833","11.1486","10.8959","11.1173","11.508","11.6903","12.4697","12.9634","13.6317","15.0539","15.0789","15.2299","15.2851","15.5076","17.1317","16.2002","18.3042","17.82","18.5603","20.0491","21.9393","23.5213","23.8499","24.5497","23.3986","23.587","22.5545","21.719","22.5295","21.7208","21.6553","23.1161","22.6591","23.1665","23.9933","24.5485","24.7957","24.8463","21.7146","22.6276","21.75","",
